국문표제어,영문표제어,약어,동의어
탈중앙화 웹,Decentralized web,,
중앙화 웹,Centralized web,,
감정 그림 문자,Emoji,,이모지
감정 스티커,Emoticon sticker,,
지능형 사물,Intelligent things,,
에지 컴퓨팅,Edge computing,,
전파사용료,Spectrum Use Fees,,"spectrum usage fees, spectrum user fees"
하이브리드 앱,Hybrid mobile application,Hybrid app,
확장성 스타일 시트 언어 변환,eXtensible Stylesheet Language Transformations,"XSLT, XSL Transformation",
확장성 마크업 경로 언어,eXtensible Markup Language Path Language,XPath,
웹 사이트,Web site,,웹사이트
웹 서비스,Web service,,
웹 서버,Web server,,
자바스크립트,JavaScript,,
하이퍼텍스트 프리프로세서,Hypertext Preprocessor,PHP,
하이퍼텍스트 마크업 언어 버전 5,HyperText Markup Language version 5,HTML5,
하이퍼텍스트 마크업 언어,HyperText Markup Language,HTML,
확장성 마크업 언어,eXtensible Markup Language,XML,
확장성 하이퍼텍스트 마크업 언어,eXtensible HyperText Markup Language,XHTML,
에크마스크립트,ECMAScript,,
문서 객체 모델,Document Object Model,DOM,
종속 스타일 시트,Cascading Style Sheets,CSS,"종속형 시트, 종속 서식 파일"
유전 알고리즘,Genetic Algorithm,GA,
6세대 컴퓨터,Sixth Generation Computer System,"6GCS, SGCS",
파이선,Python,,
술어 논리,Predicate logic,,"1차 논리, 1차 술어 논리, Predicate Calculus, First-order Logic, First-order Calculus, First-order Predicate Logic, First-order Predicate Calculus"
5세대 컴퓨터,Fifth Generation Computer System,"5GCS, FGCS",
의사 결정 지원 시스템,Decision Support System,DSS,Decision-making Support System
데이터 창고,Data Warehouse,DW,"데이터 웨어하우스, 자료 창고"
데이터 채굴,Data mining,,데이터 마이닝
군집 분석,Cluster analysis,,"군집화, Clustering"
응용 프로그래밍 인터페이스,Application Programming Interface,API,응용 프로그램 인터페이스
추상화,Abstraction,,
분기,branch,,
엘티이,Long Term Evolution,LTE,
밀리미터파,millimeter wave,mmWave,
토큰,token,,
웹 2.0,Web 2.0,,
확장성 마크업 스키마 정의 언어,XML Schema Definition language,XSD,XML 스키마 정의
액티브엑스,ActiveX,,액티브X
인공 신경망,Artificial Neural Network,ANN,신경망(Neural Network)
백홀,Backhaul,,
웹 기반 그래픽스 라이브러리,Web-based Graphics Library,WebGL,웹지엘
자원 기술 프레임워크 속성,Resource Description Framework in attributes,RDFa,
운반파 묶음,Carrier Aggregation,CA,"반송파 묶음, 반송파 집성, 주파수 집성"
진화된 패킷 시스템,Evolved Packet System,EPS,
엘티이 어드밴스트,Long Term Evolution-Advanced,LTE?Advanced,
튜링 시험,Turing test,,
심층 기계 학습,Deep learning,,딥 러닝
아이엠티 어드밴스트,International Mobile Telecommunications-Advanced,IMT-Advanced,4세대 이동 통신
아이엠티 2020,International Mobile Telecommunications-2020,IMT-2020,5세대 이동통신
엔알,New Radio,NR,
기계 학습,Machine Learning,ML,머신 러닝
인공 지능,Artificial Intelligence,AI,
모바일 백홀망,Mobile backhaul network,,
프론트홀,Fronthaul,,
고정 무선 접속,Fixed Wireless Access,FWA,
5세대 이동 통신,5th Generation,5G,
컴퓨팅 사고,Computational Thinking,CT,
마이크로비트,micro:bit,,
범용 인공 지능,Artificial General Intelligence,AGI,
물리 컴퓨팅,Physical computing,,피지컬 컴퓨팅
퍼즈 시험,Fuzzing,,"퍼징, Fuzz Testing"
고효율 이미지 파일 형식,High Efficiency Image File Format,HEIF,
진화된 패킷 핵심망,Evolved Packet Core,EPC,
진화된 범용 지상 무선 접속 기술,Evolved UMTS(Universal Mobile Telecommunications System) Terrestrial Radio Access,"E-UTRA,  Evolved UTRA",Evolved Universal Terrestrial Radio Access
진화된 범용 지상 무선 접속망,Evolved UMTS(Universal Mobile Telecommunications System) Terrestrial Radio Access Network,"E-UTRAN,  Evolved UTRAN",Evolved Universal Terrestrial Radio Access Network
노드닷제이에스,Node.js,,
깃허브,GitHub,,
웹어셈블리,WebAssembly,"WA, Wasm",
큐알코드 지급 결제,QR Code payment,,
웹 국제화,Web Internationalization,,
자립형 5세대 이동 통신,5G StandAlone,5G SA,단독형 5G
이중 연결,Dual Connectivity,DC,
다중 무선 접속 기술,multiple Radio Access Technology,multi RAT,
지노드비,next generation Node B,"gNodeB, gNB",
비자립형 5세대 이동 통신,5G Non-Standalone,5G NSA,"비단독형 5G, 종속형 5G"
차세대 무선 접속망,Next Generation Radio Access Network,NG-RAN,
앵귤러제이에스,AngularJS,,
리액트제이에스,ReactJS,,
모델·뷰·컨트롤러,Model-View-Controller,MVC,
프로그레시브 웹 앱,Progressive Web App,,
신경망 기계 번역,Neural Machine Translation,NMT,인공신경망 기계 번역
카렐 프로그래밍 언어,Karel programming language,,
언플러그드 컴퓨팅,Unplugged computing,,
로보틱 처리 자동화,Robotic Process Automation,RPA,로봇 프로세스 자동화
웹 지급 결제,Web payments,,
웹 온톨로지 언어,Web Ontology Language,OWL,
웹 운영 체제,Web Operating System,"Web OS, WOS",
자연어 처리,Natural Language Processing,NLP,
챗봇,Chatbot,,"채터봇(Chatterbot), 대화 로봇"
온톨로지,Ontology,,
하이퍼텍스트 보안 전송 프로토콜,HyperText Transfer Protocol Secure,HTTPS,
스리지피피,3rd Generation Partnership Project,3GPP,
지식 기반 시스템,Knowledge-Based Systems,KBS,
이노드비,"evolved Node B, E-UTRAN Node B","eNodeB, eNB",
반응형 웹,Responsive web,,
스마트 팜,Smart farm,,"스마트 농장, 스마트 온실, 스마트 축사, 스마트 양식장"
초고신뢰?저지연 통신,Ultra-Reliable and Low Latency Communications,URLLC,
면허 대역 지원 접속,License Assisted Access,LAA,
하이브리드 빔 형성,Hybrid beamforming,,하이브리드 빔포밍
차량?사물 셀룰러 통신,Cellular Vehicle-to-Everything,"C-V2X, Cellular V2X",
페이지랭크,PageRank,,
엔진엑스,Nginx,,
연계 데이터용 제이슨,JavaScript Object Notation for Linked Data,JSON-LD,
하이퍼텍스트 전송 규약 2.0,HyperText Transfer Protocol Version 2.0,HTTP/2,
서비스 워커,Service worker,,
타입스크립트,TypeScript,,
강화형 기계 학습,Reinforcement learning,,강화 학습
비지도형 기계 학습,Unsupervised learning,,비지도 학습
지도형 기계 학습,Supervised learning,,지도 학습
브로드밴드,Broadband,,"광대역, 고속"
모바일 브로드밴드,Mobile BroadBand,MBB,"광대역 무선 인터넷,  초고속 무선 인터넷, 광대역 이동 통신"
커넥티드 카,Connected car,,
협대역 사물 인터넷,NarrowBand-Internet of Things,NB-IoT,
향상된 모바일 브로드밴드,enhanced Mobile BroadBand,eMBB,"향상된 광대역 이동 통신, 초광대역 이동 통신"
기존 시스템,Legacy system,,레거시 시스템
제이슨,JavaScript Object Notation,JSON,
유니코드 변환 형식,Unicode Transformation Format,UTF,"UCS(Universal Coded Character Set) Transformation format, 유니코드 인코딩"
스프라이트,Sprite,,
지능형 환경,Ambient Intelligence,AmI,"생활환경지능, 환경지능, 앰비언트 인텔리전스"
개방형 연계 데이터,Linked Open Data,LOD,
스몰셀,small cell,,소형셀
대량 다중 입력 다중 출력,massive Multi Input Multi Output,massive MIMO,대량 미모(MIMO)
통계적 기계 번역,Statistical Machine Translation,SMT,통계적 자동 번역
단말 간 직접 통신,Device-to-Device communication,D2D communication,디투디(D2D) 통신
무작위 대입 공격,Brute Force Attack,,
면허 불필요 대역,Unlicensed radio frequency/License-exempt spectrum,,
근접 무선 통신,Near Field Communication,NFC,
기업·정부 전자상거래,Business To Government,B2G,
기업·소비자 전자상거래,Business to Consumer,"B2C, B to C",기업 소비자 간 전자상거래
