탈중앙화 웹,Decentralized web,,,"웹이 처음 보급될 당시, 웹은 언제 어디서나 접근 가능하고 개방하는 것을 기본 개념으로 하였다. 하지만, 최근 글로벌 웹 서비스 업체들이 대다수 사용자 데이터를 수집하여 특정 서버에 저장, 독점하고, 소유권자의 접근, 삭제, 이동 권한을 제한하고 있다. 또 서비스가 중단될 경우 데이터로의 접근 자체가 불가능해진다.
탈중앙화 웹은 사용자의 데이터를 분산 보관하거나 사용자의 단말에 직접 보관할 수 있도록 한다. 서비스 제공자 간의 데이터 연동을 위한 표준화 활동으로도 이어졌다. W3C의 소셜 웹(social web) 표준이 대표적인 사례이다."
중앙화 웹,Centralized web,,,웹상의 데이터를 특정 중앙 서버에 저장하여 처리하거나 특정 기업이나 기관이 사용자의 데이터를 독점하는 현상을 일컫는 말.
감정 그림 문자,Emoji,,이모지,감정을 표현하는 유니코드의 그림 문자 처리 기술.
감정 스티커,Emoticon sticker,,,"캐릭터의 다양한 애니메이션 동작을 이용하여 감정을 표현하는 그림 문자 처리 기술 또는 그 캐릭터.
정적인 감정 그림 문자(이모지)에 비해 스마트폰 사용자의 감정을 보다 풍부하게 전달할 수 있다. 광대역 이동통신의 발전과 함께 이모티콘과 감정 그림 문자가 진화한 형태이다. 스마트폰에서 본인 사진을 촬영하여 증강 현실(AR) 기술로 3D 캐릭터를 만드는 서비스도 스티커에 해당된다. 본인 얼굴을 닮은 스티커는 수신자에게 좀 더 친밀감을 전해준다. 네이버 라인이나 카카오 프렌즈 등 동물 기반의 스티커도 대표적인 사례이다."
지능형 사물,Intelligent things,,,"주변 환경에 스스로 대응하는 사물.
빛, 열, 음, 전파 등 다양한 센서로 주변 상황을 인지하여 획득한 정보를 통신망을 통해 컴퓨터에 전달하고, 지능 정보 처리된 결과를 다시 받아 컨트롤러를 통해 스스로 주변 환경에 대응한다. 지능형 사물은 사람들이 일상적으로 사용하는 기기로 구현된다.

지능형 사물의 대표적인 예로 자율 주행 자동차, 지능형 로봇, 무인 비행기(드론) 등이 있다. 자율 주행 자동차는 GPS, 관성 항법 장치(INS: Inertial Navigation System)를 이용하여 자율 주행을 하고, 카메라, 레이더(Radar), 라이더(Lidar), 소나(sonar) 등 탑재된 센서로 장애물, 앞차와의 간격, 신호 등에 적절히 대응하여 충돌을 예방한다. 지능형 로봇은 인공 지능 및 시각, 청각, 촉각 등 감각을 통해 외부 환경을 인식하고, 스스로 상황을 판단, 자율적으로 동작한다. 산업, 국방, 재난, 서비스 등에 활용된다. 드론은 지상에서 원격 조종하거나, 미리 프로그래밍된 경로에 따라 자동 또는 반자동으로 자율 비행, 또는 인공 지능을 탑재하여 자체적인 환경 판단에 따라 임무를 수행한다. 드론은 국방, 통신, 촬영, 배송 등에 활용된다."
클라우드 컴퓨팅,,,,"서로 다른 물리적인 위치에 존재하는 컴퓨터들의 리소스를 가상화 기술로 통합해 제공하는 기술
개인용 컴퓨터나 기업의 서버에 개별적으로 저장해 두었던 프로그램이나 문서를 클라우드(대형 컴퓨터)에 저장하고 웹 브라우저 등 필요한 어플리케이션을 구동해 원하는 작업을 수행할 수 있는 사용자 중심의 컴퓨터 환경
예) 네이버 오피스, Google DOCs(Google), Work Space(Microsoft), Acrobat(Adobe) 등"
에지 컴퓨팅,Edge computing,,,"다양한 단말 기기에서 발생하는 데이터를 클라우드와 같은 중앙 집중식 데이터센터로 보내지 않고 데이터가 발생한 현장 혹은 근거리에서 실시간 처리하는 방식으로 데이터 흐름 가속화를 지원하는 컴퓨팅 방식.
처리 가능한 대용량 데이터를 발생지(소스) 주변에서 효율적으로 처리함으로써 데이터 처리 시간이 큰 폭으로 단축되고 인터넷 대역폭 사용량이 감소하는 장점이 있다.
 에지 컴퓨팅은 기존 클라우드 컴퓨팅(cloud computing)과는 다른 컴퓨팅 접근 방법으로, 서로를 대체하는 것이 아닌 각각의 문제점을 보완하는 공생 관계에 가깝다. 에지 컴퓨팅을 클라우드(중앙 구름) 환경의 일부 작은 규모의 플랫폼으로 보아 클라우드렛(cloudlet, 작은 구름) 용어로 쓰기도 하고, 단말 기기 주변(에지)에서 처리되는 것을 가리켜 포그 컴퓨팅(fog computing)이라고도 한다.
 에지 컴퓨팅은 네트워크 연결과 대기 시간, 대역폭 제약, 단말 기기에 내장된 다양한 기능 등을 고려하여 설계되기 때문에 분산 컴퓨팅 모델에 유리하다.
에지 컴퓨팅의 대표적인 사례는 자율 주행 자동차이다. 자율 주행 자동차는 차량에 부착된 각 센서들로 주변 지형이나 도로 상황, 차량 흐름 현황 등을 파악해 데이터를 수집하고, 주행 중 일어날 수 있는 다양한 상황에 신속하게 대처해야 한다. 즉, 방대한 데이터의 수집ㆍ처리와 실시간 대응을 위한 빠른 데이터 분석의 필요로 에지 컴퓨팅이 활용된다. "
하이브리드 앱,Hybrid mobile application,Hybrid app,,"기본 기능은 HTML 등의 웹 문서로 구현하고, 패키징은 아이폰, 안드로이드 등 모바일 운영 체제(OS)별로 구현하는 앱. 모바일 웹과 기존 네이티브 앱의 장점을 모두 가진다.

스마트폰이 활성화되면서 사용자 모바일 기기에 동작되는 앱 서비스의 필요성이 대두되었다. 모바일 OS별로 제작해야 하는 앱(native app)은 제작 기간이 길고 개발 및 유지보수 비용 등의 부담이 크다. 반면 모바일 웹은 OS별로 코드를 개발할 필요가 없고, HTML5 같은 언어로도 고급 표현이 가능하다. 이에 모바일 웹과 앱의 장점을 통합하여 개발하는 하이브리드 앱 방식이 관심을 받게 되었다. 제한은 있지만 기존 앱(native app)의 기능을 대부분 탑재할 수 있다. 예를 들어 모바일 웹에서는 지원되지 않는 푸시 알림 기능이 하이브리드 앱에서는 지원된다.
하이브리드 앱은 웹 문서들을 서버 내에 두고 서비스하는 방식과 기본적인 웹 문서들을 사용자 기기에 다운로드하여 저장한 뒤 오프라인 상태에서도 이용하는 방식이 있다."
확장성 스타일 시트 언어 변환,eXtensible Stylesheet Language Transformations,"XSLT, XSL Transformation",,"확장성 마크업 언어(XML) 문서를 다른 스타일의 XML 문서로 변경하거나 다른 문서 형식으로 변환하기 위해 개발된 언어.
XSLT 기반으로 문서 변환 시 원본 문서는 변경되지 않고 변환 결과로 새로운 문서가 생성된다. HTML, 텍스트(txt), 피디에프(PDF), 포스트스크립트(PostScript), 이미지(PNG 등), 한글(HWP) 등의 형식으로 변환할 수 있다."
확장성 마크업 경로 언어,eXtensible Markup Language Path Language,XPath,,"확장성 마크업 언어(XML) 문서에서 계층적 구조의 경로를 탐색하고 원하는 내용을 선택하기 위해 사용되는 질의 언어.
문서 양식을 기술하는 데 사용되는 XML 스키마(Schema), XForms 등 W3C의 다양한 표준에서 활용된다. 일반적으로 XPath(엑스패스)로 부른다."
